100000000,"ABW"
100001073,"AIA"
100024783,"BLM"
100047360,"CCK"
100054604,"COK"
100056004,"CUW"
100056005,"CXR"
100089588,"FLK"
100131318,"GIB"
100222390,"IOT"
100238556,"KIR"
100241760,"MAF"
100243745,"MCO"
100245356,"MDV"
100247244,"MHL"
100253792,"NFK"
100254764,"NIU"
100260851,"PCN"
100341224,"SGS"
100343035,"SXM"
100367575,"VAT"
100380097,"XPI"
100000002,"AFG"
100000003,"AFG"
100000004,"AFG"
100000005,"AFG"
100000006,"AFG"
100000007,"AFG"
100000008,"AFG"
100000009,"AFG"
100000010,"AFG"
100000011,"AFG"
100000012,"AFG"
100000013,"AFG"
100000014,"AFG"
100000015,"AFG"
100000016,"AFG"
100000017,"AFG"
100000018,"AFG"
100000019,"AFG"
100000020,"AFG"
100000021,"AFG"
100000022,"AFG"
100000023,"AFG"
100000024,"AFG"
100000025,"AFG"
100000026,"AFG"
100000027,"AFG"
100000028,"AFG"
100000029,"AFG"
100000030,"AFG"
100000031,"AFG"
100000032,"AFG"
100000033,"AFG"
100000034,"AFG"
100000035,"AFG"
100000365,"AGO"
100000366,"AGO"
100000367,"AGO"
100000368,"AGO"
100000369,"AGO"
100000370,"AGO"
100000371,"AGO"
100000372,"AGO"
100000373,"AGO"
100000374,"AGO"
100000375,"AGO"
100000376,"AGO"
100000377,"AGO"
100000378,"AGO"
100000379,"AGO"
100000380,"AGO"
100000381,"AGO"
100000382,"AGO"
100001075,"ALA"
100001076,"ALA"
100001077,"ALA"
100001078,"ALA"
100001079,"ALA"
100001080,"ALA"
100001081,"ALA"
100001082,"ALA"
100001083,"ALA"
100001084,"ALA"
100001085,"ALA"
100001086,"ALA"
100001087,"ALA"
100001088,"ALA"
100001089,"ALA"
100001090,"ALA"
100001092,"ALB"
100001093,"ALB"
100001094,"ALB"
100001095,"ALB"
100001096,"ALB"
100001097,"ALB"
100001098,"ALB"
100001099,"ALB"
100001100,"ALB"
100001101,"ALB"
100001102,"ALB"
100001103,"ALB"
100001520,"AND"
100001521,"AND"
100001522,"AND"
100001523,"AND"
100001524,"AND"
100001525,"AND"
100001526,"AND"
100001528,"ARE"
100001529,"ARE"
100001530,"ARE"
100001531,"ARE"
100001532,"ARE"
100001533,"ARE"
100001534,"ARE"
100002261,"ARG"
100002262,"ARG"
100002263,"ARG"
100002264,"ARG"
100002265,"ARG"
100002266,"ARG"
100002267,"ARG"
100002268,"ARG"
100002269,"ARG"
100002270,"ARG"
100002271,"ARG"
100002272,"ARG"
100002273,"ARG"
100002274,"ARG"
100002275,"ARG"
100002276,"ARG"
100002277,"ARG"
100002278,"ARG"
100002279,"ARG"
100002280,"ARG"
100002281,"ARG"
100002282,"ARG"
100002283,"ARG"
100002284,"ARG"
100002789,"ARM"
100002790,"ARM"
100002791,"ARM"
100002792,"ARM"
100002793,"ARM"
100002794,"ARM"
100002795,"ARM"
100002796,"ARM"
100002797,"ARM"
100002798,"ARM"
100002799,"ARM"
100002801,"ASM"
100002802,"ASM"
100002803,"ASM"
100002804,"ASM"
100002897,"ATF"
100002898,"ATF"
100002899,"ATF"
100002900,"ATF"
100002902,"ATG"
100002903,"ATG"
100002904,"ATG"
100002905,"ATG"
100002906,"ATG"
100002907,"ATG"
100002908,"ATG"
100002909,"ATG"
100002911,"AUS"
100002912,"AUS"
100002913,"AUS"
100002914,"AUS"
100002915,"AUS"
100002916,"AUS"
100002917,"AUS"
100002918,"AUS"
100002919,"AUS"
100002920,"AUS"
100002921,"AUS"
100003492,"AUT"
100003493,"AUT"
100003494,"AUT"
100003495,"AUT"
100003496,"AUT"
100003497,"AUT"
100003498,"AUT"
100003499,"AUT"
100003500,"AUT"
100005724,"AZE"
100005725,"AZE"
100005726,"AZE"
100005727,"AZE"
100005728,"AZE"
100005729,"AZE"
100005730,"AZE"
100005731,"AZE"
100005732,"AZE"
100005733,"AZE"
100005814,"BDI"
100005815,"BDI"
100005816,"BDI"
100005817,"BDI"
100005818,"BDI"
100005819,"BDI"
100005820,"BDI"
100005821,"BDI"
100005822,"BDI"
100005823,"BDI"
100005824,"BDI"
100005825,"BDI"
100005826,"BDI"
100005827,"BDI"
100005828,"BDI"
100005829,"BDI"
100005830,"BDI"
100017365,"BEL"
100017366,"BEL"
100017367,"BEL"
100018012,"BEN"
100018013,"BEN"
100018014,"BEN"
100018015,"BEN"
100018016,"BEN"
100018017,"BEN"
100018018,"BEN"
100018019,"BEN"
100018020,"BEN"
100018021,"BEN"
100018022,"BEN"
100018023,"BEN"
100018101,"BES"
100018102,"BES"
100018103,"BES"
100018105,"BFA"
100018106,"BFA"
100018107,"BFA"
100018108,"BFA"
100018109,"BFA"
100018110,"BFA"
100018111,"BFA"
100018112,"BFA"
100018113,"BFA"
100018114,"BFA"
100018115,"BFA"
100018116,"BFA"
100018117,"BFA"
100024290,"BGR"
100024291,"BGR"
100024292,"BGR"
100024293,"BGR"
100024294,"BGR"
100024295,"BGR"
100024296,"BGR"
100024297,"BGR"
100024298,"BGR"
100024299,"BGR"
100024300,"BGR"
100024301,"BGR"
100024302,"BGR"
100024303,"BGR"
100024304,"BGR"
100024305,"BGR"
100024306,"BGR"
100024307,"BGR"
100024308,"BGR"
100024309,"BGR"
100024310,"BGR"
100024311,"BGR"
100024312,"BGR"
100024313,"BGR"
100024314,"BGR"
100024315,"BGR"
100024316,"BGR"
100024317,"BGR"
100024582,"BHR"
100024583,"BHR"
100024584,"BHR"
100024585,"BHR"
100024586,"BHR"
100024588,"BHS"
100024589,"BHS"
100024590,"BHS"
100024591,"BHS"
100024592,"BHS"
100024593,"BHS"
100024594,"BHS"
100024595,"BHS"
100024596,"BHS"
100024597,"BHS"
100024598,"BHS"
100024599,"BHS"
100024600,"BHS"
100024601,"BHS"
100024602,"BHS"
100024603,"BHS"
100024604,"BHS"
100024605,"BHS"
100024606,"BHS"
100024607,"BHS"
100024608,"BHS"
100024609,"BHS"
100024610,"BHS"
100024611,"BHS"
100024612,"BHS"
100024613,"BHS"
100024614,"BHS"
100024615,"BHS"
100024616,"BHS"
100024617,"BHS"
100024618,"BHS"
100024619,"BHS"
100024621,"BIH"
100024622,"BIH"
100024623,"BIH"
100024785,"BLR"
100024786,"BLR"
100024787,"BLR"
100024788,"BLR"
100024789,"BLR"
100024790,"BLR"
100024910,"BLZ"
100024911,"BLZ"
100024912,"BLZ"
100024913,"BLZ"
100024914,"BLZ"
100024915,"BLZ"
100024917,"BMU"
100024918,"BMU"
100024919,"BMU"
100024920,"BMU"
100024921,"BMU"
100024922,"BMU"
100024923,"BMU"
100024924,"BMU"
100024925,"BMU"
100024926,"BMU"
100024927,"BMU"
100024929,"BOL"
100024930,"BOL"
100024931,"BOL"
100024932,"BOL"
100024933,"BOL"
100024934,"BOL"
100024935,"BOL"
100024936,"BOL"
100024937,"BOL"
100025353,"BRA"
100025354,"BRA"
100025355,"BRA"
100025356,"BRA"
100025357,"BRA"
100025358,"BRA"
100025359,"BRA"
100025360,"BRA"
100025361,"BRA"
100025362,"BRA"
100025363,"BRA"
100025364,"BRA"
100025365,"BRA"
100025366,"BRA"
100025367,"BRA"
100025368,"BRA"
100025369,"BRA"
100025370,"BRA"
100025371,"BRA"
100025372,"BRA"
100025373,"BRA"
100025374,"BRA"
100025375,"BRA"
100025376,"BRA"
100025377,"BRA"
100025378,"BRA"
100025379,"BRA"
100041080,"BRB"
100041081,"BRB"
100041082,"BRB"
100041083,"BRB"
100041084,"BRB"
100041085,"BRB"
100041086,"BRB"
100041087,"BRB"
100041088,"BRB"
100041089,"BRB"
100041090,"BRB"
100041092,"BRN"
100041093,"BRN"
100041094,"BRN"
100041095,"BRN"
100041129,"BTN"
100041130,"BTN"
100041131,"BTN"
100041132,"BTN"
100041133,"BTN"
100041134,"BTN"
